tmdb_id,imdb_id,title,original_language,release_year,overview,genres,vote_average,vote_count,poster_url
60437,tt0058294,Lilith,en,1964.0,"Vincent Bruce, a war veteran, begins working as an occupational therapist at Poplar Lodge, a private psychiatric facility for wealthy people where he meets Lilith Arthur, a charming young woman suffering from schizophrenia, whose fragile beauty captivates all who meet her.","Drama, Romance, Thriller",6.4,82,https://image.tmdb.org/t/p/w500/zBTRVBpWZkkXkhfqqFTh59i4XjU.jpg
27681,tt0118178,Wish Upon a Star,en,1996.0,A younger sister wishes to switch places with her popular older sister and the two bickering siblings awaken to find the wish has come true.,"TV Movie, Family, Comedy, Fantasy",6.5,193,https://image.tmdb.org/t/p/w500/5vgfcw4y4UVE2BUA4RTauUX62jQ.jpg
158743,tt2007360,Computer Chess,en,2013.0,"At the American Computer Chess Convention, enthusiasts gather to pit their programs against other computer chess programs and human players in a tournament for a grand prize of $7500.",Comedy,6.1,112,https://image.tmdb.org/t/p/w500/13lK8Ytp218J0mPullUzpvHjNrX.jpg
617499,tt8205656,U311 Cherkasy,uk,2020.0,"The crew of Ukrainian NAVY minesweeper U311 ""Cherkasy"" is resisting seizure of the vessel by Russian army in Crimea in 2014.","War, Action, Drama",6.5,56,https://image.tmdb.org/t/p/w500/dSO7CoTOwPhWliBkkxbqr54p0vq.jpg
420915,tt5862902,Yardie,en,2018.0,"Jamaica, 1973. When a young boy witnesses his brother’s assassination, a powerful Don gives him a home. But 10 years later, when he’s sent to London, his past catches up to him.","Crime, Drama",5.9,65,https://image.tmdb.org/t/p/w500/toK5rixhrjA98ENLb2wSOV10eJw.jpg
551994,tt8236366,The Shed,en,2019.0,"The story of Stan, an orphaned teenager stuck living with his abusive grandfather and tasked with routinely protecting his best friend from high school bullies. When Stan discovers a murderous creature has taken refuge inside the tool shed in his backyard, he tries to secretly battle the demon alone until his bullied friend discovers the creature and has a far more sinister plan in mind.","Horror, Thriller",5.864,143,https://image.tmdb.org/t/p/w500/aV9n5MyLZQsoXNfbZG5OOf16IkP.jpg
191531,tt0079886,Legend of the Mountain,zh,1979.0,"A traveling scholar, intent on translating a Buddhist sutra that is said to have power over the creatures of the afterlife. He slowly finds himself entangled in a mysterious plot involving witchcraft, demons, and a battle to preserve his own soul from the attacks of the supernatural underworld.","Horror, Fantasy, Mystery",7.4,42,https://image.tmdb.org/t/p/w500/94ZZwpRyTlstNNSw67jFxCJQhYr.jpg
27716,tt0071361,Coonskin,en,1975.0,"A multi-layered satire of race relations in America. Live-action sequences of a prison break bracket the animated tale of Brother Rabbit, Brother Bear, and Preacher Fox, who rise to the top of the crime ranks in Harlem by going up against a con-man, a racist cop, and the Mafia.","Drama, Animation, Comedy, Crime",6.1,137,https://image.tmdb.org/t/p/w500/3zrxUkbeLl2KmSIRywNTwiGOZ2y.jpg
748618,tt13097336,The Lady of Heaven,en,2021.0,"Two stories separated by 1400 years. After losing his mother in the midst of a war-torn country, an Iraqi child learns the importance and power of patience by discovering the historical story of Lady Fatima and her suffering.","History, Drama, Action",6.4,25,https://image.tmdb.org/t/p/w500/j7pZEzOKDGalpH5fTWZnVO9yKLV.jpg
1010730,tt16578886,Beauty and the Billionaire,en,2022.0,Addison travels with a picky billionaire as an assistant in her brother's place so he doesn't lose his job. She clashes with the billionaire until both start to see more in each other than they thought.,"TV Movie, Romance, Comedy",7.1,40,https://image.tmdb.org/t/p/w500/LNEc1ZU3JA2jX07MuaWkH5nvzm.jpg
